seas_id,player_id,player,tm,season,hof,pos,age,experience,g,mp,vorp,wins_added,salary,cap,predicted_sal,act_minus_predict,diff_as_percent_of_cap
17212,2218,A.C. Green,MIA,2001,FALSE,PF,37,16,82,1411,-0.1,-0.27,2250000,35500000,-233780.48780487807,2483780.487804878,0.06996564754379939
16716,2218,A.C. Green,LAL,2000,FALSE,PF,36,15,82,1929,0.8,2.16,1700000,34000000,1791219.5121951222,-91219.5121951222,-0.0026829268292683
16209,2218,A.C. Green,DAL,1999,FALSE,PF,35,14,50,924,0,0,5125088,30000000,0,5125088,0.17083626666666665
15662,2218,A.C. Green,DAL,1998,FALSE,PF,34,13,82,2649,0.4,1.08,5095088,26900000,708585.3658536586,4386502.634146341,0.16306701242179708
15090,2218,A.C. Green,DAL,1997,FALSE,PF,33,12,56,1944,0.4,1.08,4851000,24363000,641757.0731707318,4209242.926829268,0.17277194626397685
14543,2218,A.C. Green,PHO,1996,FALSE,SF,32,11,82,2113,0.4,1.08,6473000,23000000,605853.6585365854,5867146.341463415,0.25509331919406153
14091,2218,A.C. Green,PHO,1995,FALSE,SF,31,10,82,2687,1.3,3.5100000000000002,6472600,15964000,1366674.1463414636,5105925.853658536,0.31984000586685896
13610,2218,A.C. Green,PHO,1994,FALSE,PF,30,9,82,2825,1.8,4.86,1885000,15175000,1798792.6829268294,86207.31707317056,0.005680877566601026
13161,2218,A.C. Green,LAL,1993,FALSE,PF,29,8,82,2819,1.9,5.13,1750000,14000000,1751707.3170731708,-1707.3170731707942,-1.2195121951219958e-4
12703,2218,A.C. Green,LAL,1992,FALSE,PF,28,7,82,2902,2,5.4,1750000,12500000,1646341.463414634,103658.53658536589,0.00829268292682927
12262,2218,A.C. Green,LAL,1991,FALSE,PF,27,6,82,2164,1.1,2.9700000000000006,1750000,11871000,859923.6585365855,890076.3414634145,0.07497905327802329
11803,2218,A.C. Green,LAL,1990,FALSE,PF,26,5,82,2709,1,2.7,1500000,9802000,645497.5609756098,854502.4390243902,0.08717633534221488
11365,2218,A.C. Green,LAL,1989,FALSE,PF,25,4,82,2510,2.3,6.21,269000,7232000,1095383.4146341463,-826383.4146341463,-0.11426761817396934
10939,2218,A.C. Green,LAL,1988,FALSE,PF,24,3,82,2636,1.5,4.050000000000001,218750,6164000,608882.9268292685,-390132.92682926846,-0.06329216853167885
10182,2218,A.C. Green,LAL,1986,FALSE,PF,22,1,82,1542,0.2,0.54,128750,4233000,55751.707317073175,72998.29268292683,0.017245049062822308
16717,3168,A.J. Bramlett,CLE,2000,FALSE,C,23,1,8,61,-0.2,-0.54,118974,34000000,-447804.87804878055,566778.8780487806,0.016669967001434725
12704,2560,A.J. English,WSB,1992,FALSE,SG,24,2,81,1665,-0.8,-2.16,325000,12500000,-658536.5853658537,983536.5853658537,0.0786829268292683
12263,2560,A.J. English,WSB,1991,FALSE,SG,23,1,70,1443,-0.7,-1.89,275000,11871000,-547224.1463414634,822224.1463414634,0.06926325889490889
18249,3228,A.J. Guyton,GSW,2003,FALSE,PG,24,3,2,9,0,0,18748,40271000,0,18748,4.655459263489856e-4
17749,3228,A.J. Guyton,CHI,2002,FALSE,PG,23,2,45,607,0.1,0.27,465850,42500000,279878.04878048785,185971.95121951215,0.004375810616929697
17213,3228,A.J. Guyton,CHI,2001,FALSE,PG,22,1,33,630,-0.3,-0.81,316969,35500000,-701341.4634146341,1018310.4634146341,0.02868480178632772
26325,4374,A.J. Hammons,DAL,2017,FALSE,C,24,1,22,163,-0.2,-0.54,650000,94143000,-1239932.1951219514,1889932.1951219514,0.02007512183722583
25099,3857,A.J. Price,PHO,2015,FALSE,PG,28,6,5,44,-0.1,-0.27,62552,63065000,-415306.09756097564,477858.09756097564,0.007577231389217088
23912,3857,A.J. Price,WAS,2013,FALSE,PG,26,4,57,1278,0.5,1.35,885120,58044000,1911204.8780487806,-1026084.8780487806,-0.017677707912080155
23361,3857,A.J. Price,IND,2012,FALSE,PG,25,3,44,568,0.1,0.27,854389,58044000,382240.97560975613,472148.02439024387,0.008134312321518915
22736,3857,A.J. Price,IND,2011,FALSE,PG,24,2,50,795,-0.2,-0.54,762195,58044000,-764481.9512195123,1526676.9512195121,0.026302063111079736
22158,3857,A.J. Price,IND,2010,FALSE,PG,23,1,56,865,0.3,0.81,457588,57700000,1139926.8292682928,-682338.8292682928,-0.011825629623367293
12264,2561,A.J. Wynder,BOS,1991,FALSE,PG,26,1,6,39,0,0,30000,11871000,0,30000,0.0025271670457417236
26920,3731,Aaron Brooks,MIN,2018,FALSE,PG,33,10,32,189,-0.1,-0.27,1471382,99093000,-652563.6585365854,2123945.6585365855,0.0214338617110854
26326,3731,Aaron Brooks,IND,2017,FALSE,PG,32,9,65,894,-0.4,-1.08,2700000,94143000,-2479864.390243903,5179864.390243903,0.05502123780040898
25747,3731,Aaron Brooks,CHI,2016,FALSE,PG,31,8,69,1108,-0.2,-0.54,2000000,70000000,-921951.2195121952,2921951.2195121953,0.041742160278745645
25100,3731,Aaron Brooks,CHI,2015,FALSE,PG,30,7,82,1885,0.5,1.35,1145685,63065000,2076530.487804878,-930845.487804878,-0.01476009653222672
24487,3731,Aaron Brooks,HOU,2014,FALSE,PG,29,6,43,716,0.3,0.81,1027424,58679000,1159268.0487804879,-131844.04878048785,-0.0022468693873530197
23914,3731,Aaron Brooks,SAC,2013,FALSE,PG,28,5,46,959,0,0,3250000,58044000,0,3250000,0.05599200606436496
22739,3731,Aaron Brooks,PHO,2011,FALSE,PG,26,4,25,473,0.1,0.27,2016692,58044000,382240.97560975613,1634451.024390244,0.02815882820602033
22159,3731,Aaron Brooks,HOU,2010,FALSE,PG,25,3,82,2919,1.9,5.13,1118520,57700000,7219536.585365853,-6101016.585365853,-0.10573685589888827
21576,3731,Aaron Brooks,HOU,2009,FALSE,PG,24,2,80,1998,0.6,1.62,1045560,58680000,2318575.6097560977,-1273015.6097560977,-0.021694199211930772
20981,3731,Aaron Brooks,HOU,2008,FALSE,PG,23,1,51,608,0.3,0.81,972720,55630000,1099031.7073170731,-126311.70731707313,-0.002270568170359035
28292,4219,Aaron Gordon,ORL,2020,FALSE,PF,24,6,62,2017,1,2.7,19863636,109140000,7187268.292682927,12676367.707317073,0.11614777082020408
27584,4219,Aaron Gordon,ORL,2019,FALSE,PF,23,5,78,2633,1.7,4.59,21590909,101869000,11404358.780487806,10186550.219512194,0.09999656636967276
26921,4219,Aaron Gordon,ORL,2018,FALSE,PF,22,4,58,1909,1.1,2.9700000000000006,5504420,99093000,7178200.24390244,-1673780.2439024402,-0.01689100384388847
26327,4219,Aaron Gordon,ORL,2017,FALSE,SF,21,3,80,2298,0.6,1.62,4351320,94143000,3719796.5853658537,631523.4146341463,0.0067081292781634985
25748,4219,Aaron Gordon,ORL,2016,FALSE,PF,20,2,78,1863,1.4,3.78,4171680,70000000,6453658.536585365,-2281978.5365853654,-0.032599693379790934
25101,4219,Aaron Gordon,ORL,2015,FALSE,PF,19,1,47,797,-0.2,-0.54,3992040,63065000,-830612.1951219513,4822652.195121951,0.07647113605204077
24490,3732,Aaron Gray,TOR,2014,FALSE,C,29,7,4,20,0,0,2690875,58679000,0,2690875,0.045857546992961705
23916,3732,Aaron Gray,TOR,2013,FALSE,C,28,6,42,513,-0.3,-0.81,2575000,58044000,-1146722.9268292682,3721722.926829268,0.06411899467351093
23362,3732,Aaron Gray,TOR,2012,FALSE,C,27,5,49,813,-0.3,-0.81,2500000,58044000,-1146722.9268292682,3646722.926829268,0.06282687145664097
22740,3732,Aaron Gray,NOH,2011,FALSE,C,26,4,41,531,-0.3,-0.81,1028840,58044000,-1146722.9268292682,2175562.926829268,0.03748127156690215
22162,3732,Aaron Gray,NOH,2010,FALSE,C,25,3,24,261,0.1,0.27,1000497,57700000,379975.6097560976,620521.3902439023,0.010754270194868324
21577,3732,Aaron Gray,CHI,2009,FALSE,C,24,2,56,715,-0.2,-0.54,711517,58680000,-772858.5365853659,1484375.536585366,0.025296106622109165
20982,3732,Aaron Gray,CHI,2008,FALSE,C,23,1,61,613,-0.2,-0.54,427163,55630000,-732687.8048780488,1159850.8048780488,0.020849376323531347
26922,4301,Aaron Harrison,DAL,2018,FALSE,SG,23,3,9,233,-0.3,-0.81,174571,99093000,-1957690.975609756,2132261.975609756,0.021517786075805113
26328,4301,Aaron Harrison,CHO,2017,FALSE,SG,22,2,5,17,0,0,375579,94143000,0,375579,0.003989452216309232
25749,4301,Aaron Harrison,CHO,2016,FALSE,SG,21,1,21,93,-0.1,-0.27,525093,70000000,-460975.6097560976,986068.6097560977,0.01408669442508711
28293,4582,Aaron Holiday,IND,2020,FALSE,PG,23,2,66,1617,0.2,0.54,2239200,109140000,1437453.6585365855,801746.3414634145,0.007346035747328335
27585,4582,Aaron Holiday,IND,2019,FALSE,PG,22,1,50,646,0.1,0.27,1911960,101869000,670844.6341463415,1241115.3658536584,0.012183445070175013
26923,4462,Aaron Jackson,HOU,2018,FALSE,PG,31,1,1,35,-0.1,-0.27,4608,99093000,-652563.6585365854,657171.6585365854,0.006631867624722084
20465,2832,Aaron McKie,LAL,2007,FALSE,SF,34,13,10,131,-0.1,-0.27,2500000,53135000,-349913.4146341464,2849913.4146341463,0.05363533291868159
19902,2832,Aaron McKie,LAL,2006,FALSE,PG,33,12,14,121,0,0,2500000,49500000,0,2500000,0.050505050505050504
19317,2832,Aaron McKie,PHI,2005,FALSE,SG,32,11,68,1118,0.4,1.08,5500000,43870000,1155600,4344400,0.09902894916799636
18732,2832,Aaron McKie,PHI,2004,FALSE,SF,31,10,75,2112,1.8,4.86,5000000,43840000,5196643.902439024,-196643.9024390243,-0.004485490475342708
18250,2832,Aaron McKie,PHI,2003,FALSE,SF,30,9,80,2374,1.9,5.13,4500000,40271000,5038786.097560976,-538786.0975609757,-0.013379009648654757
